binning,bin,sample,block_a,block_b,nested,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,diff_cv_r2,ci_low,ci_high,diff_heldout_r2,ci_low_heldout,ci_high_heldout
stage,endgame,talkers,window,cumulative,True,elastic net,rules+timing+momentum,159,84,177,113,0.010819579410835112,-0.02645143204907393,0.036446310874859326,-0.0042809393511074045,-0.04666580468628975,0.02730222668187451
stage,endgame,talkers,pre,post,False,random forest,rules+timing+momentum,159,84,177,113,-0.0064033644468904916,-0.022985531620453806,0.018036682680727875,0.016995510435841132,-0.01231855612903425,0.042107714444288305
stage,endgame,talkers,pre,window,True,random forest,rules+timing+momentum,159,84,177,113,-0.009798251615631526,-0.02073643248358511,0.01189022890636857,-0.005008884639836508,-0.024495305870813673,0.013470506195175903
stage,endgame,talkers,pre,cumulative,True,random forest,rules+timing+momentum,159,84,177,113,-0.01360102799412688,-0.07952035159739532,0.027312195543797158,0.06362715848119882,0.006714350057871264,0.12158559557277224
stage,endgame,talkers,post,window,True,random forest,rules+timing+momentum,159,84,177,113,-0.0033948871687410342,-0.020607358483662287,0.02153033569604971,-0.02200439507567764,-0.04641928551435275,0.005529749595333992
stage,endgame,talkers,post,cumulative,True,random forest,rules+timing+momentum,159,84,177,113,-0.007197663547236388,-0.07709564477352343,0.03445834119066658,0.04663164804535769,-0.008139794676194073,0.10684982394945304
stage,endgame,talkers,window,cumulative,True,random forest,rules+timing+momentum,159,84,177,113,-0.003802776378495354,-0.08118314046259925,0.036576134965786246,0.06863604312103533,0.01566788483258382,0.12238977764003275
round_bin,round 2,talkers,pre,post,False,elastic net,rules+timing,79,79,85,85,-0.016948919087693914,-0.11594662954452314,0.0717010446710583,-0.03415179211873354,-0.07429790102349502,-0.004310562272297243
round_bin,round 2,talkers,pre,window,True,elastic net,rules+timing,79,79,85,85,-0.039877811419435805,-0.15850252792736283,0.06962931978245965,0.058817651747505195,-0.06387098801313378,0.2329078283383352
round_bin,round 2,talkers,pre,cumulative,True,elastic net,rules+timing,79,79,85,85,-0.02059485310404141,-0.1254907285575812,0.0828234761422836,-0.03415179211873354,-0.07726587885334746,-0.004124942864949367
round_bin,round 2,talkers,post,window,True,elastic net,rules+timing,79,79,85,85,-0.02292889233174189,-0.10686437298534825,0.05398351284238844,0.09296944386623873,-0.029771657042649557,0.2961635382778965
round_bin,round 2,talkers,post,cumulative,True,elastic net,rules+timing,79,79,85,85,-0.0036459340163474963,-0.07876662090501033,0.06667177325858474,0.0,0.0,0.0
round_bin,round 2,talkers,window,cumulative,True,elastic net,rules+timing,79,79,85,85,0.019282958315394394,-0.06465356078061535,0.10416611257811924,-0.09296944386623873,-0.28979707513405895,0.03120464896507612
round_bin,round 2,talkers,pre,post,False,random forest,rules+timing,79,79,85,85,0.0005294040581897974,-0.08819288435405208,0.09451591112553455,-0.05354485571948242,-0.10941652654051619,0.010651021882774517
round_bin,round 2,talkers,pre,window,True,random forest,rules+timing,79,79,85,85,-0.007300018832950617,-0.06300363889232366,0.054199337006669304,-0.028367206010824098,-0.0678578070426624,0.022691658997086698
round_bin,round 2,talkers,pre,cumulative,True,random forest,rules+timing,79,79,85,85,0.0014825688676665116,-0.07115486993993682,0.0785579784447574,-0.050589924196983604,-0.10118583252768769,0.0061695376096046585
round_bin,round 2,talkers,post,window,True,random forest,rules+timing,79,79,85,85,-0.007829422891140414,-0.07890167525317557,0.06641377828879336,0.025177649708658323,-0.018244027337198356,0.07133891217917061
round_bin,round 2,talkers,post,cumulative,True,random forest,rules+timing,79,79,85,85,0.0009531648094767142,-0.07901826415166883,0.08793604143580737,0.002954931522498816,-0.05000397906685017,0.051559535933691135
